train_loss,train_accuracy,test_loss,test_accuracy,grok_loss,grok_accuracy,corrupt_loss,corrupt_accuracy
1.2018284,0.107407406,1.149599,0.12592593,,,,
1.1490614,0.06666666,1.1739756,0.08148148,,,,
1.1253396,0.06851852,1.1377306,0.05925926,,,,
1.1181637,0.048148148,1.0776491,0.04444444,,,,
1.1032183,0.05,1.1094536,0.02222222,,,,
1.0744317,0.035185184,1.1088783,0.02222222,,,,
1.062898,0.0462963,1.0856242,0.04444444,,,,
1.0525053,0.03888889,1.0840874,0.0074074073,,,,
1.0770656,0.031481482,1.0763845,0.037037037,,,,
1.0585011,0.040740743,1.1117505,0.02222222,,,,
1.0671476,0.024074074,1.083707,0.02962963,,,,
1.0365454,0.022222225,1.0712056,0.014814815,,,,
1.0580881,0.016666668,1.0740025,0.037037037,,,,
1.0448763,0.033333335,1.0660468,0.014814815,,,,
1.0474482,0.022222223,1.0834332,0.0074074073,,,,
1.033983,0.011111112,1.052613,0.0074074073,,,,
1.0412343,0.012962964,1.0612646,0.02222222,,,,
1.0523431,0.009259259,1.0884355,0.014814815,,,,
1.031248,0.0074074073,1.0627714,0.0074074073,,,,
1.0211669,0.025925925,1.0769265,0.0074074073,,,,
1.0497278,0.009259259,1.0782282,0.02222222,,,,
1.0380713,0.012962964,1.0653329,0.02222222,,,,
1.0195644,0.014814815,1.0410807,0.02222222,,,,
1.0257647,0.009259259,1.0580899,0.014814815,,,,
1.0331438,0.0055555557,1.0348643,0.014814815,,,,
1.021343,0.0018518518,1.0660373,0.014814815,,,,
1.0331879,0.0129629625,1.0595043,0.02222222,,,,
1.013896,0.009259259,1.066285,0.014814815,,,,
1.0164101,0.0074074073,1.0426819,0.0,,,,
1.0331888,0.0037037036,1.0239854,0.0074074073,,,,
1.0014122,0.014814815,1.0689466,0.014814815,,,,
1.01986,0.011111111,1.0495629,0.0,,,,
1.0051854,0.009259259,1.0708098,0.0,,,,
1.0262078,0.011111111,1.0582429,0.0,,,,
1.015566,0.012962964,1.036207,0.0074074073,,,,
1.0152752,0.0074074073,1.0504653,0.0074074073,,,,
1.024204,0.0037037036,1.0450461,0.0074074073,,,,
1.0222933,0.009259259,1.0563332,0.0074074073,,,,
1.0124482,0.009259259,1.0738415,0.0074074073,,,,
1.0132449,0.0074074073,1.0202487,0.0,,,,
1.0236686,0.0018518518,1.0216899,0.0074074073,,,,
1.0183007,0.0129629625,1.023698,0.0,,,,
1.0254471,0.0037037036,1.047468,0.0,,,,
1.0087669,0.0129629625,1.016356,0.0074074073,,,,
1.0154893,0.009259259,1.0541902,0.0,,,,
1.0015703,0.0037037036,1.0350325,0.014814815,,,,
1.0221484,0.014814815,1.055918,0.0,,,,
1.0058616,0.0074074073,1.0259132,0.0,,,,
1.0129985,0.0055555557,1.0343788,0.0074074073,,,,
1.0059885,0.0018518518,1.0690928,0.014814815,,,,
1.016468,0.0037037036,1.0249729,0.0074074073,,,,
1.0298408,0.0037037036,1.0303456,0.0074074073,,,,
1.0147083,0.0037037036,1.0396378,0.02222222,,,,
1.0047125,0.0074074073,1.0677661,0.0074074073,,,,
1.0098536,0.0055555557,1.0430372,0.0074074073,,,,
0.9925903,0.0055555557,1.0382197,0.0,,,,
1.0186278,0.011111112,1.0274302,0.0,,,,
1.0109669,0.0074074073,1.0403221,0.0,,,,
1.0080116,0.011111112,1.0448303,0.0074074073,,,,
1.0156422,0.0055555557,1.0240968,0.0,,,,
0.994619,0.0018518518,1.0422729,0.0074074073,,,,
0.9993919,0.0037037036,1.0277327,0.0074074073,,,,
1.0068172,0.012962964,1.0372875,0.0074074073,,,,
1.0093485,0.0074074073,1.0201164,0.0074074073,,,,
1.0009477,0.014814815,1.0302192,0.0,,,,
1.0065324,0.0074074073,1.0425597,0.0,,,,
0.99748707,0.0074074073,1.0417502,0.0,,,,
1.0049442,0.0037037036,1.0270058,0.0,,,,
1.0020955,0.01666667,1.0244222,0.0074074073,,,,
0.99262255,0.014814816,1.0320879,0.0074074073,,,,
1.0071385,0.014814815,1.0351545,0.0,,,,
0.9970356,0.009259259,1.0385745,0.0,,,,
0.980548,0.0074074073,0.99798363,0.0074074073,,,,
0.99077284,0.0037037036,1.0351357,0.0,,,,
0.99282646,0.009259259,1.0529355,0.0,,,,
1.0039616,0.0129629625,1.0162008,0.0,,,,
0.9925076,0.0129629625,1.058569,0.0074074073,,,,
1.0025831,0.012962964,1.0563495,0.0074074073,,,,
0.982093,0.0074074073,1.0402668,0.014814815,,,,
0.99558336,0.009259259,1.028505,0.0074074073,,,,
0.9851529,0.014814815,1.0679126,0.0074074073,,,,
0.9885132,0.0074074073,1.0359383,0.0,,,,
0.9963412,0.009259259,1.0448211,0.0,,,,
0.9889062,0.009259259,1.0468903,0.0,,,,
0.98427516,0.011111111,0.99915284,0.0074074073,,,,
0.9879181,0.0055555557,1.0518293,0.02222222,,,,
0.98234767,0.016666668,1.0266243,0.0074074073,,,,
0.9904601,0.0074074073,1.0102478,0.0,,,,
0.99180794,0.020370374,1.0141213,0.02222222,,,,
0.967999,0.016666668,1.0686479,0.0074074073,,,,
0.9813644,0.02037037,1.0482583,0.014814815,,,,
0.9941956,0.011111111,1.0588449,0.0,,,,
0.9750495,0.016666668,1.0624552,0.014814815,,,,
0.98205405,0.031481482,1.0520747,0.0,,,,
