train_loss,train_accuracy,test_loss,test_accuracy,grok_loss,grok_accuracy,corrupt_loss,corrupt_accuracy
1.0694277,0.0,1.0435891,0.0,,,1.3690457,0.0
1.030474,0.0,1.0373173,0.0,,,1.2703915,0.0
1.035326,0.0,1.0185434,0.0,,,1.1698906,0.0
1.025766,0.0,1.0125766,0.0,,,1.0698028,0.0
1.0121664,0.0,0.99902654,0.0,,,0.97995347,0.0
0.99020934,0.0,0.98996925,0.0,,,0.88760436,0.0
0.9844663,0.0,0.9805395,0.0,,,0.8585001,0.0
0.97442937,0.0,0.99260634,0.0,,,0.7727484,0.0
0.97602314,0.0,0.98557365,0.0,,,0.7512324,0.0
0.966047,0.0,0.98881656,0.0,,,0.66758347,0.0
0.97231656,0.0,0.99260926,0.0,,,0.65744746,0.0
0.96136135,0.0,0.9775738,0.0,,,0.6380817,0.0
0.96122795,0.0,0.9763026,0.0,,,0.60547674,0.0
0.9611385,0.0,0.9771497,0.0074074073,,,0.58920026,0.0
0.9378808,0.0,0.96879214,0.0,,,0.6065351,0.0
0.9457518,0.0,0.971532,0.0,,,0.5537823,0.0
0.9450442,0.0,0.9696319,0.0074074073,,,0.52435184,0.0
0.9542871,0.0,0.96681976,0.0074074073,,,0.54877794,0.0
0.9384576,0.0023148148,0.9771738,0.0074074073,,,0.49098468,0.0
0.94085526,0.0,0.96879613,0.0074074073,,,0.49958497,0.0
0.9455688,0.0,0.96210957,0.014814815,,,0.5085569,0.0
0.94895756,0.0,0.963644,0.0074074073,,,0.47212443,0.0
0.9247913,0.0,0.95815647,0.0074074073,,,0.5185755,0.0
0.93811345,0.0023148148,0.9501587,0.0074074073,,,0.47522518,0.1
0.94541574,0.0023148148,0.9485455,0.0074074073,,,0.5094294,0.0
0.9370135,0.0023148148,0.9595415,0.0074074073,,,0.46539903,0.0
0.9267684,0.0023148148,0.9489533,0.0074074073,,,0.47950944,0.0
0.9449648,0.0,0.9577832,0.014814815,,,0.47784075,0.0
0.9298716,0.0023148148,0.9599778,0.014814815,,,0.46877393,0.0
0.937832,0.0046296297,0.95531327,0.0074074073,,,0.41795695,0.2
0.94617796,0.0046296297,0.96183246,0.0074074073,,,0.43360892,0.2
0.92746913,0.011574075,0.9510607,0.014814815,,,0.41031897,0.1
0.9216123,0.016203703,0.968569,0.014814815,,,0.40085524,0.3
0.9236008,0.011574075,0.97359055,0.0074074073,,,0.37875742,0.1
0.93384576,0.011574075,0.9698766,0.0074074073,,,0.37892112,0.1
0.9402149,0.020833332,0.9619184,0.0074074073,,,0.37924665,0.1
0.9381528,0.016203703,0.9601534,0.014814815,,,0.3685427,0.3
0.9375101,0.016203705,0.9662869,0.0074074073,,,0.4053259,0.2
0.925021,0.011574075,0.9546152,0.0074074073,,,0.38721034,0.1
0.92121655,0.016203703,0.9537114,0.0074074073,,,0.41166362,0.2
0.9293271,0.01388889,0.952261,0.014814815,,,0.35459402,0.2
0.9333686,0.01388889,0.958456,0.014814815,,,0.3666589,0.1
0.93846977,0.011574075,0.9629176,0.014814815,,,0.38958648,0.3
0.9303539,0.011574075,0.96362233,0.0074074073,,,0.3854804,0.2
0.9198151,0.013888889,0.9635041,0.0074074073,,,0.40475494,0.2
0.9326117,0.013888889,0.9617213,0.014814815,,,0.40290463,0.3
0.91239095,0.018518519,0.97020286,0.014814815,,,0.42001194,0.1
0.94674695,0.011574075,0.95741034,0.014814815,,,0.38111737,0.2
0.9172157,0.011574075,0.9468873,0.014814815,,,0.4002628,0.2
0.9143221,0.013888889,0.96435976,0.014814815,,,0.40286273,0.2
0.9186918,0.016203705,0.95405126,0.014814815,,,0.38989627,0.1
0.9258473,0.016203705,0.9561555,0.02222222,,,0.36524385,0.3
0.9241493,0.023148147,0.9503208,0.02222222,,,0.35901874,0.4
0.9215194,0.020833332,0.9468906,0.02222222,,,0.38882366,0.2
0.90615827,0.020833334,0.94185793,0.0074074073,,,0.36979565,0.2
0.91486603,0.01851852,0.9441772,0.02222222,,,0.37064424,0.2
0.90460384,0.011574075,0.93171465,0.02222222,,,0.38738248,0.3
0.90508735,0.013888889,0.9432746,0.0074074073,,,0.377787,0.2
0.91962016,0.013888889,0.93064684,0.0074074073,,,0.3912308,0.2
0.90077144,0.020833334,0.9462578,0.02222222,,,0.3759313,0.2
0.8923759,0.020833334,0.9369786,0.02962963,,,0.3896475,0.2
0.895139,0.020833334,0.9284401,0.014814815,,,0.3867007,0.1
0.8749536,0.02314815,0.9360381,0.014814815,,,0.35506046,0.3
0.871909,0.03703704,0.93381363,0.02962963,,,0.3550222,0.2
0.89725924,0.041666668,0.92656326,0.037037037,,,0.36818868,0.2
0.88064617,0.030092595,0.91741973,0.04444444,,,0.36038974,0.2
0.87790084,0.030092593,0.9199959,0.037037037,,,0.37408188,0.2
0.87010276,0.037037037,0.9144631,0.02962963,,,0.34399444,0.2
0.867794,0.03935185,0.91714793,0.037037037,,,0.35702908,0.2
0.8723304,0.034722224,0.90529454,0.04444444,,,0.3633131,0.2
0.8660089,0.032407407,0.9058795,0.05185185,,,0.36649972,0.3
0.8625736,0.041666664,0.9001386,0.04444444,,,0.37782583,0.1
0.85083044,0.046296295,0.88974804,0.037037037,,,0.35950738,0.2
0.83461356,0.04398148,0.8709582,0.02962963,,,0.35860264,0.2
0.83836514,0.048611112,0.89515215,0.04444444,,,0.33413824,0.3
0.82093406,0.055555556,0.88008595,0.04444444,,,0.33460605,0.3
0.81622636,0.06712963,0.8790291,0.05925926,,,0.33555362,0.2
0.8175538,0.0625,0.8779462,0.08148148,,,0.30307943,0.4
0.8020587,0.0787037,0.8805826,0.11111111,,,0.3188396,0.4
