train_loss,train_accuracy,test_loss,test_accuracy,grok_loss,grok_accuracy,corrupt_loss,corrupt_accuracy
1.0229106,0.0,1.0818986,0.0,,,0.9101245,0.0
0.9906858,0.0,1.0206585,0.0,,,0.845606,0.0
0.97762686,0.0,0.99091446,0.0,,,0.82374394,0.0
0.98023295,0.0,0.9702089,0.0,,,0.8378269,0.0
0.9640493,0.0,0.949898,0.0,,,0.79435,0.0
0.95544237,0.0,0.93894976,0.0,,,0.7772939,0.0
0.9534377,0.0,0.92631423,0.0,,,0.75045455,0.0
0.94730365,0.0023148148,0.9402346,0.0,,,0.7498942,0.0
0.94947416,0.009259259,0.94414496,0.0074074073,,,0.6894123,0.0
0.9402355,0.018518519,0.9657952,0.02962963,,,0.660086,0.0
0.9539049,0.018518519,0.96296823,0.02962963,,,0.6380424,0.0
0.94347227,0.02314815,0.96156037,0.037037037,,,0.6641793,0.0
0.9522511,0.025462965,0.9582237,0.02962963,,,0.6634127,0.0
0.9488443,0.027777776,0.9401275,0.02222222,,,0.65378386,0.0
0.94421744,0.025462965,0.9568649,0.0074074073,,,0.6589404,0.0
0.9425702,0.016203703,0.95426834,0.0074074073,,,0.6456495,0.0
0.93724096,0.025462963,0.95061547,0.02222222,,,0.65170205,0.13333334
0.9542374,0.013888889,0.93507224,0.014814815,,,0.6565141,0.0
0.9412498,0.016203705,0.9337882,0.02962963,,,0.64053595,0.0
0.95352495,0.013888889,0.9307723,0.02962963,,,0.6586946,0.0
0.95567536,0.02314815,0.93883526,0.0074074073,,,0.6661168,0.0
0.95630056,0.016203703,0.93455625,0.014814815,,,0.64637065,0.0
0.94583094,0.01388889,0.9418502,0.0,,,0.6619346,0.0
0.9564981,0.0069444445,0.9206934,0.0074074073,,,0.6561529,0.0
0.93512434,0.011574075,0.93770564,0.014814815,,,0.68872225,0.0
0.95268315,0.0069444445,0.9410832,0.0,,,0.6856041,0.0
0.94040537,0.01388889,0.9416008,0.014814815,,,0.64294726,0.0
0.9331328,0.016203703,0.9404789,0.02222222,,,0.66983795,0.06666667
0.93482333,0.025462963,0.94840807,0.02962963,,,0.6460702,0.0
0.9638468,0.030092593,0.94707197,0.02962963,,,0.66305727,0.13333334
0.9341969,0.030092593,0.96071285,0.037037037,,,0.65406084,0.20000002
0.93968785,0.03472222,0.9633794,0.037037037,,,0.6522884,0.20000002
0.9541348,0.030092593,0.95276487,0.037037037,,,0.63651854,0.13333334
0.9477466,0.034722224,0.95396507,0.02962963,,,0.6470723,0.06666667
0.93824553,0.03240741,0.9478172,0.037037037,,,0.6890343,0.06666667
0.9466002,0.016203705,0.93128455,0.02222222,,,0.6342285,0.06666667
0.92973924,0.016203705,0.9302883,0.0074074073,,,0.6701485,0.0
0.93283445,0.02314815,0.92260236,0.02222222,,,0.6850896,0.0
0.9471475,0.013888889,0.92951673,0.014814815,,,0.65191627,0.06666667
0.9375675,0.02314815,0.934859,0.02222222,,,0.6447782,0.0
0.92373735,0.037037037,0.9515108,0.02222222,,,0.60422504,0.13333334
0.9162383,0.034722224,0.9355171,0.037037037,,,0.6189558,0.13333334
0.93449533,0.0462963,0.94013494,0.02962963,,,0.6295996,0.20000002
0.94244826,0.03935185,0.94353765,0.04444444,,,0.6053927,0.13333334
0.92476845,0.050925925,0.94168603,0.05185185,,,0.61059475,0.06666667
0.93973166,0.050925925,0.95384336,0.05185185,,,0.6217927,0.20000002
0.9359454,0.050925925,0.9469649,0.05185185,,,0.5905358,0.20000002
0.9252465,0.048611112,0.9342005,0.04444444,,,0.65285933,0.13333334
0.9398973,0.05092593,0.9199702,0.05185185,,,0.6530198,0.20000002
0.9277333,0.048611112,0.93242913,0.05185185,,,0.6110241,0.06666667
0.91988003,0.03935185,0.92198074,0.04444444,,,0.6238933,0.20000002
0.92963535,0.030092593,0.92277855,0.02962963,,,0.655296,0.13333334
0.9253535,0.041666668,0.9215876,0.02962963,,,0.6408747,0.20000002
0.92741835,0.03935185,0.9286671,0.04444444,,,0.6289899,0.20000002
0.93736166,0.04398148,0.9220179,0.05925926,,,0.6174614,0.13333334
0.9436997,0.04398148,0.91197395,0.05925926,,,0.61840105,0.20000002
0.92354935,0.050925925,0.9378315,0.04444444,,,0.6049098,0.20000002
0.9391828,0.048611112,0.9208566,0.05185185,,,0.62367934,0.13333334
0.9247755,0.041666668,0.92053604,0.02222222,,,0.66844755,0.20000002
0.9250824,0.041666668,0.92319703,0.05185185,,,0.64070857,0.20000002
0.91569865,0.04398148,0.9327591,0.05185185,,,0.64438653,0.13333334
0.9204676,0.043981485,0.9217119,0.05185185,,,0.65154904,0.20000002
0.9176661,0.048611112,0.9173047,0.05185185,,,0.60276777,0.20000002
0.9042438,0.06944445,0.9109673,0.05185185,,,0.63359576,0.20000002
0.91204864,0.067129634,0.91997546,0.074074075,,,0.60139805,0.20000002
0.92309403,0.05324074,0.9170544,0.05925926,,,0.58980334,0.20000002
0.90935814,0.06712963,0.92611194,0.08148148,,,0.61348724,0.20000002
0.9164308,0.07175926,0.9052305,0.074074075,,,0.6044584,0.20000002
0.9067529,0.07638889,0.9148884,0.08148148,,,0.60161114,0.20000002
0.91035455,0.0625,0.9227364,0.08888888,,,0.6007955,0.20000002
0.90174395,0.07175926,0.9078001,0.08888888,,,0.59496087,0.20000002
0.9002168,0.06944445,0.9145001,0.08148148,,,0.58185476,0.20000002
0.90579545,0.074074075,0.9081221,0.08148148,,,0.62981826,0.20000002
0.8884747,0.06944445,0.9076128,0.05925926,,,0.6070168,0.20000002
0.88705933,0.074074075,0.9116575,0.08888888,,,0.5801677,0.26666668
0.90935564,0.06944445,0.91469467,0.08148148,,,0.62839615,0.20000002
0.9016339,0.06944445,0.91121995,0.08148148,,,0.6078868,0.20000002
0.8850415,0.08796296,0.9259473,0.08148148,,,0.62621623,0.20000002
0.89713,0.06944444,0.8999224,0.08148148,,,0.6384159,0.20000002
0.8946546,0.0625,0.9045645,0.05925926,,,0.63121754,0.20000002
0.8767637,0.06712963,0.8947617,0.08148148,,,0.64544755,0.20000002
0.8611996,0.07638889,0.9035129,0.08148148,,,0.6472715,0.20000002
0.87712365,0.0787037,0.88620794,0.08148148,,,0.63596106,0.20000002
0.8757112,0.07175926,0.87483484,0.074074075,,,0.6273217,0.20000002
0.8595999,0.074074075,0.86806685,0.1037037,,,0.638282,0.20000002
0.8567907,0.081018515,0.8623717,0.11111111,,,0.63892746,0.20000002
0.84106094,0.08796296,0.85615385,0.096296296,,,0.6276321,0.26666668
0.8449476,0.0787037,0.8577659,0.1037037,,,0.61041474,0.26666668
0.8491272,0.090277776,0.85175985,0.06666666,,,0.63971186,0.26666668
0.8306668,0.08564815,0.8420543,0.08148148,,,0.609605,0.26666668
0.8321172,0.08564815,0.84719545,0.096296296,,,0.5879891,0.26666668
0.8267305,0.104166664,0.8269743,0.11111111,,,0.5972303,0.26666668
0.7840136,0.11574074,0.8241162,0.074074075,,,0.63391376,0.26666668
0.8143146,0.09490741,0.8031298,0.096296296,,,0.6160536,0.26666668
0.7873223,0.12962963,0.7837665,0.1037037,,,0.59471065,0.26666668
0.7735723,0.14814815,0.7805227,0.13333333,,,0.59209085,0.26666668
0.76936096,0.16203703,0.78344095,0.14814815,,,0.57188433,0.26666668
0.75665665,0.16898148,0.78214735,0.14074074,,,0.53801847,0.33333334
0.73750985,0.17361112,0.7728267,0.14074074,,,0.5666131,0.26666668
0.7395252,0.16435185,0.7427255,0.14074074,,,0.5760297,0.26666668
0.72747386,0.16666667,0.7423641,0.17037037,,,0.58952504,0.26666668
0.71694297,0.16898148,0.7313354,0.14074074,,,0.53210723,0.33333334
0.7205155,0.16666667,0.71057105,0.14074074,,,0.5777915,0.33333334
0.6968994,0.19444445,0.70678574,0.16296296,,,0.5361103,0.33333334
0.68471587,0.19675927,0.7081926,0.17037037,,,0.5250041,0.33333334
0.6780342,0.18981482,0.6888268,0.2074074,,,0.5159761,0.33333334
0.69318163,0.17824075,0.68327296,0.19259259,,,0.5001579,0.33333334
0.66168946,0.21064815,0.6700553,0.2074074,,,0.5314305,0.26666668
0.6539942,0.2037037,0.6697328,0.19259259,,,0.5121503,0.33333334
0.6285979,0.21064815,0.669088,0.17777777,,,0.54416,0.33333334
0.6491884,0.19212961,0.66146857,0.19259259,,,0.5029243,0.33333334
0.62028754,0.20833334,0.656186,0.21481481,,,0.51491123,0.33333334
0.60850704,0.23842593,0.65389663,0.21481481,,,0.49971074,0.33333334
0.61631596,0.22222222,0.6295102,0.2,,,0.50193983,0.40000004
0.59931123,0.22453703,0.6179043,0.2074074,,,0.54985344,0.33333334
0.5833614,0.23611112,0.62047935,0.22962962,,,0.57038766,0.33333334
0.57451594,0.23148148,0.6091588,0.25185186,,,0.537125,0.33333334
0.5606778,0.2638889,0.59776706,0.28888887,,,0.5379062,0.33333334
0.56732476,0.2615741,0.58165705,0.26666665,,,0.55067384,0.33333334
0.5652117,0.24305555,0.58348453,0.25925925,,,0.57674605,0.33333334
0.55023825,0.27083334,0.57457983,0.25925925,,,0.53549385,0.40000004
0.53439784,0.2824074,0.5681472,0.27407408,,,0.51743275,0.40000004
0.5221627,0.30555555,0.575161,0.2962963,,,0.5206534,0.40000004
0.53240025,0.2986111,0.5795471,0.28148147,,,0.53607255,0.40000004
0.5007392,0.2986111,0.56363326,0.27407408,,,0.5350957,0.40000004
0.5128596,0.28935185,0.5375676,0.25185186,,,0.5458575,0.40000004
0.50074506,0.28472224,0.53168625,0.28148147,,,0.5420364,0.40000004
0.49591798,0.3263889,0.5245123,0.3333333,,,0.56414646,0.40000004
0.4870168,0.3587963,0.5236681,0.34074074,,,0.5918162,0.40000004
0.46649402,0.36574075,0.51394373,0.32592592,,,0.55535316,0.40000004
0.45649943,0.3726852,0.49677178,0.34074074,,,0.5599411,0.40000004
