train_loss,train_accuracy,test_loss,test_accuracy,grok_loss,grok_accuracy,corrupt_loss,corrupt_accuracy
1.085268,0.08333333,1.1239588,0.05925926,,,0.76902723,0.0
1.067863,0.057870373,1.0877463,0.05185185,,,0.6441359,0.0
1.0663353,0.02314815,1.0647057,0.037037037,,,0.78556174,0.2
1.0712366,0.032407407,1.084542,0.02962963,,,0.8688451,0.0
1.0303247,0.03240741,1.0696404,0.04444444,,,0.60890263,0.0
1.0360295,0.03935185,1.0658624,0.02222222,,,0.6995055,0.2
1.0279603,0.030092593,1.0731391,0.02222222,,,0.6815732,0.0
1.0199833,0.025462963,1.0555396,0.02222222,,,0.6624692,0.0
1.0211743,0.041666668,1.0667362,0.0074074073,,,0.82356036,0.0
1.0348817,0.02777778,1.0626281,0.037037037,,,0.7733919,0.2
1.026692,0.03935185,1.025829,0.05185185,,,0.62653655,0.0
1.0041876,0.04398148,0.9932262,0.05925926,,,0.64885753,0.2
0.9988345,0.03935185,1.0286008,0.037037037,,,0.6494093,0.0
0.99267834,0.06944445,1.0199863,0.05185185,,,0.54764014,0.2
1.0059838,0.05092593,1.0183554,0.06666666,,,0.52793753,0.0
0.9595794,0.055555556,1.0017344,0.074074075,,,0.5140259,0.0
0.99975836,0.032407407,1.0272067,0.05185185,,,0.57090217,0.2
0.97156775,0.04398148,1.0430765,0.074074075,,,0.5876615,0.0
0.9950336,0.023148147,1.0060041,0.05925926,,,0.578156,0.0
0.9751321,0.050925925,1.0068139,0.02222222,,,0.73620063,0.0
0.9912249,0.034722224,1.0434486,0.04444444,,,0.64445645,0.2
0.9566347,0.03472222,0.9934514,0.05185185,,,0.6886954,0.0
0.9667586,0.039351854,0.9903297,0.08148148,,,0.6290477,0.0
0.9684444,0.048611112,0.9863821,0.06666666,,,0.59052205,0.2
0.94521177,0.050925925,1.0201218,0.02962963,,,0.53631824,0.0
0.9559866,0.0787037,0.9777725,0.037037037,,,0.53769004,0.2
0.93942416,0.060185187,0.9810212,0.06666666,,,0.6655394,0.0
0.95488465,0.050925925,0.9859556,0.1037037,,,0.55559456,0.0
0.95399857,0.07638889,1.000702,0.08888888,,,0.5413777,0.0
0.9494563,0.090277776,0.9950939,0.08888888,,,0.5068618,0.2
0.93592644,0.0787037,0.95825773,0.08148148,,,0.6255598,0.0
0.9232357,0.05787037,0.9878317,0.05185185,,,0.7039704,0.0
0.9480498,0.060185187,0.9941511,0.11851852,,,0.52598953,0.0
0.9460455,0.09027778,0.9643437,0.11851852,,,0.650228,0.0
0.9551507,0.08796296,0.95980704,0.12592593,,,0.66320693,0.0
0.94084704,0.07870371,0.95649153,0.08888888,,,0.65348196,0.0
0.93954134,0.07638889,0.95679915,0.11851852,,,0.64375585,0.0
0.9287288,0.08564815,0.95127434,0.1037037,,,0.6226011,0.0
0.9261509,0.09259259,0.9368309,0.08888888,,,0.62987137,0.0
0.91382396,0.09259259,0.9317715,0.11851852,,,0.61521786,0.0
0.89963424,0.11805556,0.8872095,0.17037037,,,0.70482016,0.0
0.8962735,0.13657407,0.93471175,0.14814815,,,0.5003006,0.0
0.87211525,0.14351852,0.9301019,0.17037037,,,0.44006318,0.2
0.866321,0.14351852,0.92578655,0.14814815,,,0.6329262,0.0
0.8763185,0.16666667,0.8797813,0.16296296,,,0.71860063,0.2
0.85686225,0.1412037,0.8492485,0.14074074,,,0.8178636,0.0
0.8554867,0.13425925,0.8146201,0.18518518,,,0.81048197,0.0
0.85994846,0.14351852,0.81354696,0.17777777,,,0.969229,0.0
0.7997682,0.1736111,0.8400373,0.25185186,,,0.77987236,0.0
0.7945949,0.19907407,0.781692,0.28888887,,,0.8168144,0.0
0.8069119,0.20833333,0.7936813,0.2962963,,,1.0778861,0.0
0.78289807,0.21296297,0.7855229,0.28888887,,,0.9425469,0.0
0.7639488,0.31944445,0.8063781,0.2962963,,,0.7771902,0.0
0.7438316,0.29861113,0.7448544,0.2962963,,,0.9759979,0.0
0.7581276,0.2523148,0.71433616,0.26666665,,,0.9665314,0.0
0.7346345,0.32407406,0.76165986,0.35555553,,,0.71083844,0.0
0.76293087,0.3564815,0.7505332,0.38518518,,,0.4245698,0.2
0.7481902,0.35185188,0.7010678,0.32592592,,,0.6966521,0.0
0.74925965,0.30092594,0.7099439,0.37037036,,,0.7374657,0.0
0.7164868,0.33796296,0.73212737,0.37037036,,,0.28076914,0.4
0.708325,0.375,0.6989886,0.38518518,,,0.2676727,0.2
0.7139207,0.35185185,0.6890349,0.32592592,,,0.3114431,0.2
0.67346007,0.38194445,0.6919168,0.39259258,,,0.24056533,0.8
0.7492217,0.40046296,0.6474538,0.42962962,,,0.15795399,1.0
0.7237916,0.38657406,0.7476211,0.37037036,,,0.27609473,0.6
0.68136215,0.36805555,0.6657351,0.37777779,,,0.3556671,0.6
0.63132596,0.4212963,0.6207267,0.42962962,,,0.3143199,0.6
0.6376723,0.4166667,0.58272797,0.43703702,,,0.30590484,0.6
0.6204303,0.47916666,0.644193,0.48148146,,,0.15323907,1.0
0.58676285,0.4814815,0.49868083,0.5185185,,,0.22313145,0.6
0.5352314,0.5439815,0.44794276,0.56296295,,,0.38420218,0.6
0.4894056,0.5300926,0.5030469,0.5185185,,,0.47594652,0.2
0.48691723,0.53472227,0.4240634,0.5555555,,,0.6506133,0.2
0.4641677,0.5671296,0.4627616,0.58518517,,,0.11521415,0.8
0.4589525,0.6203704,0.4384517,0.56296295,,,0.1596725,0.8
0.43138096,0.6296296,0.43157816,0.6148148,,,0.39889082,0.4
0.4582702,0.599537,0.44442564,0.5703704,,,0.26800007,0.6
0.4499173,0.6111111,0.3511496,0.68888885,,,0.44807318,0.6
0.4008841,0.6550926,0.40974253,0.65185183,,,0.47664374,0.6
0.39715675,0.68749994,0.3003633,0.7259259,,,0.29082817,0.6
0.37609687,0.7013889,0.36164567,0.7037037,,,0.0982156,0.8
0.39214185,0.6990741,0.40448806,0.7037037,,,0.1403346,0.8
0.33467817,0.7615741,0.26445273,0.78518516,,,0.12308897,0.8
0.34583065,0.76388896,0.32150975,0.77037036,,,0.40875462,0.4
0.32598847,0.7638889,0.34127253,0.78518516,,,0.67571926,0.4
0.37873575,0.76851857,0.29998145,0.7777778,,,0.48059738,0.2
0.3314771,0.8078703,0.29694393,0.837037,,,0.079716474,1.0
0.337247,0.775463,0.35254997,0.78518516,,,0.5609374,0.6
0.28741923,0.8171296,0.35846525,0.8148148,,,0.63931316,0.4
0.26854718,0.8171297,0.2980004,0.837037,,,0.502106,0.4
0.32758915,0.8240741,0.28561905,0.7777778,,,0.2462402,0.6
0.3379319,0.8171297,0.28698522,0.82222223,,,0.2363778,0.6
0.3384712,0.8287037,0.29671204,0.8074074,,,0.2281631,0.6
0.33364338,0.8078704,0.34722683,0.84444445,,,0.23532726,0.6
0.34617692,0.837963,0.3172592,0.8518518,,,0.29635674,0.6
0.32864594,0.8402778,0.35566655,0.84444445,,,0.12958199,1.0
0.33667615,0.8263889,0.26618084,0.8666667,,,0.17409913,0.8
