train_loss,train_accuracy,test_loss,test_accuracy,grok_loss,grok_accuracy,corrupt_loss,corrupt_accuracy
1.1140813,0.113425925,1.0337319,0.096296296,,,1.0910012,0.08571429
1.0822201,0.10185185,1.0225058,0.08148148,,,1.0840132,0.2
1.0264289,0.12731482,0.9813007,0.13333333,,,0.92497635,0.14285715
1.0109574,0.13657407,0.9096152,0.096296296,,,0.85241354,0.114285715
0.9539542,0.19444445,0.91576666,0.2,,,0.7376913,0.31428573
0.8818984,0.2708333,0.94585747,0.27407408,,,0.6753533,0.31428573
0.89277846,0.3541667,0.9435139,0.37777779,,,0.54742646,0.42857143
0.9048985,0.39583334,0.8913136,0.38518518,,,0.58062696,0.4857143
0.9083798,0.3587963,0.88340765,0.32592592,,,0.62248504,0.34285715
0.84786636,0.30092594,0.8647141,0.3037037,,,0.59432477,0.25714287
0.86164266,0.29166666,0.86626697,0.32592592,,,0.6541315,0.25714287
0.8631362,0.24305555,0.86442924,0.25925925,,,0.623617,0.4
0.87272763,0.2615741,0.8712494,0.27407408,,,0.62395096,0.42857143
0.8640363,0.2986111,0.8758254,0.21481481,,,0.5867346,0.37142858
0.81898016,0.2986111,0.8596885,0.3037037,,,0.6121231,0.2857143
0.8476891,0.30787036,0.8614435,0.28148147,,,0.56638646,0.37142858
0.82689536,0.27314815,0.85763747,0.2962963,,,0.5568872,0.37142858
0.85136425,0.30092594,0.84614325,0.28888887,,,0.5429731,0.37142858
0.8641004,0.2847222,0.8613985,0.22962962,,,0.60631347,0.37142858
0.8104683,0.25694445,0.8661849,0.26666665,,,0.6032558,0.22857143
0.8561929,0.27314815,0.83603835,0.28148147,,,0.5881812,0.31428573
0.8272457,0.2662037,0.87541544,0.25185186,,,0.58308953,0.34285715
0.8073137,0.27314815,0.8461066,0.28888887,,,0.5786411,0.34285715
0.8126493,0.28240743,0.8380214,0.37037036,,,0.5896816,0.37142858
0.81599027,0.33564815,0.8449879,0.37037036,,,0.57833683,0.31428573
0.8146884,0.34722224,0.84052294,0.31851852,,,0.553375,0.37142858
0.831452,0.31944445,0.8399906,0.3037037,,,0.61044717,0.2
0.7877776,0.2777778,0.8191988,0.24444444,,,0.5789107,0.31428573
0.807325,0.28935185,0.8174106,0.3333333,,,0.56087947,0.22857143
0.8330832,0.3287037,0.82649744,0.38518518,,,0.5687395,0.4
0.8169569,0.30555555,0.84278625,0.3037037,,,0.6006808,0.31428573
0.79392844,0.27314815,0.8411656,0.26666665,,,0.5618261,0.31428573
0.8301494,0.30092594,0.8394197,0.2962963,,,0.5395818,0.4
0.83002204,0.2662037,0.8416752,0.23703703,,,0.56563705,0.31428573
0.8126936,0.3310185,0.8410462,0.2962963,,,0.5905388,0.31428573
0.79236495,0.24305555,0.8216239,0.2962963,,,0.58905417,0.37142858
0.7770578,0.30324072,0.842595,0.28148147,,,0.57565284,0.37142858
0.78769493,0.3541667,0.8251476,0.39259258,,,0.55100346,0.31428573
0.8211161,0.3726852,0.8441075,0.36296296,,,0.5686818,0.31428573
0.8135041,0.34722224,0.82353324,0.3037037,,,0.54700905,0.42857143
0.80980194,0.25694445,0.82054436,0.3037037,,,0.5645769,0.2
0.80722064,0.24305557,0.82158834,0.22962962,,,0.59941965,0.42857143
0.8308868,0.24768518,0.8249123,0.22222222,,,0.5898776,0.17142858
0.81218755,0.27083334,0.8193696,0.2074074,,,0.6171251,0.31428573
0.8088486,0.29166666,0.82054853,0.28888887,,,0.57650906,0.25714287
0.8048583,0.28472224,0.84916705,0.22222222,,,0.5596086,0.37142858
0.83053625,0.25925925,0.8067845,0.28888887,,,0.57102996,0.2857143
0.81776845,0.22916667,0.8456486,0.21481481,,,0.60659915,0.25714287
0.82245034,0.2013889,0.83825135,0.18518518,,,0.61371946,0.114285715
0.81491816,0.2175926,0.8281688,0.22962962,,,0.5992898,0.2
0.7830764,0.2013889,0.81900394,0.26666665,,,0.5746559,0.17142858
0.7930529,0.24768518,0.81113195,0.27407408,,,0.5704996,0.2857143
0.81830335,0.27314815,0.7992371,0.36296296,,,0.55668426,0.51428574
0.7995182,0.3587963,0.7979109,0.37037036,,,0.5765353,0.2857143
0.80407614,0.28935185,0.79570264,0.25925925,,,0.5746757,0.34285715
0.770436,0.2662037,0.80752444,0.24444444,,,0.55349565,0.25714287
0.77227646,0.30555555,0.7860021,0.3333333,,,0.58534664,0.31428573
0.75170285,0.33333334,0.78803074,0.35555553,,,0.53051835,0.34285715
0.7859866,0.33564815,0.79059106,0.44444445,,,0.5132357,0.4
0.8146856,0.3125,0.7938548,0.4,,,0.52933776,0.4
0.8055213,0.3009259,0.8357634,0.31851852,,,0.56540656,0.42857143
0.78567207,0.24768518,0.78824747,0.28888887,,,0.56924,0.14285715
0.7949119,0.22685187,0.7847834,0.3333333,,,0.5664316,0.4
0.7831208,0.24768518,0.77601296,0.28888887,,,0.5628393,0.2857143
0.7539996,0.2986111,0.77043027,0.4148148,,,0.514912,0.37142858
0.7415147,0.3587963,0.78591084,0.42962962,,,0.49419448,0.4857143
0.7572661,0.3587963,0.81597733,0.42962962,,,0.5368314,0.45714286
0.81704444,0.3287037,0.8283927,0.32592592,,,0.5571845,0.31428573
0.7914556,0.25925925,0.791781,0.3111111,,,0.5589927,0.31428573
0.8043544,0.2013889,0.7746128,0.27407408,,,0.58539045,0.25714287
0.7954136,0.22685185,0.7628467,0.27407408,,,0.59075195,0.2
0.7956941,0.2175926,0.78358305,0.28888887,,,0.5619349,0.2857143
0.80116814,0.20601852,0.7474913,0.27407408,,,0.5592361,0.31428573
0.78345764,0.19444443,0.7300933,0.28888887,,,0.5564306,0.2
0.76345587,0.23611112,0.7514196,0.3333333,,,0.60278434,0.22857143
0.7721995,0.2685185,0.74631655,0.34814814,,,0.5292596,0.42857143
0.7376139,0.29166666,0.76099634,0.34814814,,,0.52062523,0.34285715
0.7552177,0.27546296,0.77216625,0.3111111,,,0.51165336,0.37142858
0.7578061,0.22222222,0.76052976,0.3037037,,,0.5984406,0.25714287
0.743329,0.24074075,0.7196889,0.31851852,,,0.51656234,0.2857143
0.7641249,0.25694445,0.73926413,0.39259258,,,0.5433033,0.4
0.72791827,0.33333334,0.73690563,0.4,,,0.48897868,0.4
0.750968,0.34953701,0.7201058,0.4148148,,,0.5049202,0.42857143
0.739176,0.375,0.7527033,0.43703702,,,0.48848885,0.42857143
0.7205317,0.3726852,0.7405153,0.35555553,,,0.51041067,0.4
0.7282279,0.3148148,0.74804634,0.35555553,,,0.5583206,0.31428573
0.70059025,0.31944445,0.7010128,0.4,,,0.51574486,0.42857143
0.73433024,0.2986111,0.70151335,0.37037036,,,0.5369305,0.37142858
0.69238806,0.34953701,0.72539026,0.39259258,,,0.5487717,0.42857143
0.70207745,0.39814815,0.7180132,0.4888889,,,0.4913827,0.4
0.6780572,0.49074072,0.7615929,0.5111111,,,0.47937685,0.45714286
0.6704566,0.4537037,0.740643,0.37777779,,,0.48015127,0.42857143
0.7018826,0.3587963,0.70790815,0.4,,,0.5170326,0.2857143
0.7348298,0.29166666,0.7086491,0.31851852,,,0.5363717,0.34285715
0.69769734,0.34953704,0.70739263,0.34814814,,,0.49984485,0.34285715
0.68165,0.375,0.718867,0.43703702,,,0.48556355,0.4857143
0.68863285,0.44675925,0.7227796,0.47407407,,,0.46751425,0.4
0.68448114,0.4189815,0.70688385,0.37777779,,,0.47885966,0.4
0.716331,0.3449074,0.6928654,0.4,,,0.5149697,0.37142858
0.709448,0.3287037,0.7015782,0.34074074,,,0.5109468,0.2857143
0.6769548,0.3703704,0.69967854,0.39259258,,,0.49273232,0.4
0.67302215,0.41435188,0.69474006,0.46666667,,,0.52276915,0.42857143
0.6878749,0.44212964,0.72850406,0.4888889,,,0.49119574,0.45714286
0.6853701,0.3912037,0.6709594,0.39259258,,,0.49660984,0.37142858
0.6961695,0.30555555,0.69754326,0.3333333,,,0.5172173,0.37142858
0.66184306,0.3449074,0.6883874,0.38518518,,,0.49834362,0.42857143
0.69405556,0.4050926,0.7179294,0.47407407,,,0.4759054,0.51428574
0.66821706,0.43055555,0.68190086,0.4962963,,,0.49797374,0.42857143
0.6298277,0.4212963,0.66035044,0.44444445,,,0.4802728,0.45714286
0.6724176,0.4236111,0.7357833,0.4074074,,,0.48622313,0.42857143
0.705967,0.38657406,0.71360564,0.4,,,0.48782104,0.42857143
0.6746742,0.35185185,0.7146187,0.38518518,,,0.47944298,0.45714286
0.6823098,0.34953704,0.6796473,0.4148148,,,0.5107533,0.34285715
0.6441221,0.3773148,0.6743469,0.43703702,,,0.4672834,0.4
0.65227336,0.42361113,0.6674255,0.45925924,,,0.47376132,0.42857143
0.6544121,0.39583334,0.6679464,0.45185184,,,0.48166886,0.45714286
0.6505954,0.3912037,0.6695746,0.43703702,,,0.51106274,0.4857143
0.631911,0.4236111,0.6705864,0.46666667,,,0.46306464,0.45714286
0.6267008,0.44444445,0.66226786,0.4962963,,,0.46487355,0.4857143
0.6460545,0.44444445,0.6688866,0.47407407,,,0.5127183,0.37142858
0.6178138,0.36574072,0.6746547,0.37777779,,,0.528422,0.42857143
0.62853366,0.3912037,0.67656094,0.4,,,0.4902507,0.45714286
0.61948335,0.49537036,0.69670445,0.5037037,,,0.48161688,0.42857143
0.67752373,0.4212963,0.68687516,0.37777779,,,0.48787665,0.37142858
0.6627951,0.32175925,0.66623706,0.35555553,,,0.5194624,0.37142858
0.62306833,0.375,0.67750734,0.4074074,,,0.5118823,0.4
0.6211751,0.4537037,0.6868991,0.5407407,,,0.45988202,0.45714286
0.6256851,0.4837963,0.65642864,0.48148146,,,0.4668101,0.4857143
0.6298174,0.4050926,0.66896874,0.42222223,,,0.5229381,0.37142858
0.65224636,0.37731484,0.65207916,0.4,,,0.520971,0.31428573
0.6291974,0.44675925,0.63317984,0.45185184,,,0.49417523,0.42857143
0.63070357,0.4513889,0.66656303,0.45925924,,,0.4852035,0.4
0.6239395,0.39583334,0.64545035,0.42962962,,,0.48196828,0.37142858
0.6291936,0.36574075,0.6468781,0.43703702,,,0.5065487,0.4
0.61358243,0.41203704,0.6671341,0.45185184,,,0.5129299,0.37142858
0.64438486,0.4074074,0.65154666,0.45925924,,,0.4955147,0.42857143
0.6526387,0.4097222,0.68267226,0.39259258,,,0.52836317,0.4
0.6626026,0.4212963,0.62447333,0.46666667,,,0.47850424,0.42857143
0.6172478,0.42824072,0.6310794,0.4074074,,,0.5323637,0.31428573
0.6304655,0.36805558,0.6156349,0.42962962,,,0.53820986,0.31428573
